Constituency,Constituency,Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Runner Up,Runner Up,Runner Up,Runner Up,Runner Up,Margin
No.,Name,Candidate,Party,Party,Votes,%,Candidate,Party,Party,Votes,%,Margin
Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district.1,Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district.1,Nandurbar district,Nandurbar district,Nandurbar district
1,Akkalkuwa (ST),Aamshya Padavi,,SHS,72629,31.55,Kagda Chandya Padvi,,INC,69725,30.29,2904
2,Shahada (ST),Rajesh Padvi,,BJP,146839,59.86,Rajendrakumar Gavit,,INC,93635,38.17,53204
3,Nandurbar (ST),Vijaykumar Gavit,,BJP,155190,64.62,Kiran Damodar Tadavi,,INC,78943,32.87,76247
4,Navapur (ST),Shirishkumar Naik,,INC,87166,36.14,Sharad Gavit,,IND,86045,35.67,1121
Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district,Dhule district
5,Sakri (ST),Manjula Gavit,,SHS,104649,43.20,Pravin Bapu Chaure,,INC,99065,40.89,5584
6,Dhule Rural,Raghavendra Patil,,BJP,170398,58.87,Kunal Rohidas Patil,,INC,104078,35.96,66320
7,Dhule City,Anup Agarwal,,BJP,116538,52.88,Shah Faruk Anwar,,AIMIM,70788,32.12,45750
8,Sindkheda,Jayakumar Rawal,,BJP,151492,66.98,Sandeep Bedse,,NCP-SP,55608,24.59,95884
9,Shirpur (ST),Kashiram Pawara,,BJP,178073,76.70,Jitendra Yuvraj Thakur,,IND,32129,13.84,145944
Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district,Jalgaon district
10,Chopda (ST),Chandrakant Sonawane,,SHS,122826,55.18,Prabhakarappa Sonawane,,SS(UBT),90513,40.66,32313
11,Raver,Amol Jawale,,BJP,113676,49.30,Dhananjay Chaudhari,,INC,70114,30.41,43562
12,Bhusawal (SC),Sanjay Savkare,,BJP,107259,58.20,Rajesh Manwatkar,,INC,59771,32.43,47488
13,Jalgaon City,Suresh Bhole,,BJP,151536,62.82,Jayashri Mahajan,,SS(UBT),64033,26.54,87503
14,Jalgaon Rural,Gulabrao Patil,,SHS,143408,60.90,Gulabrao Deokar,,NCP-SP,84176,35.75,59232
15,Amalner,Anil Bhaidas Patil,,NCP,109445,53.50,Shirish Chaudhari,,IND,76010,37.16,33435
16,Erandol,Amol Patil,,SHS,101088,49.63,Satish Anna Patil,,NCP-SP,44756,21.97,56332
17,Chalisgaon,Mangesh Chavan,,BJP,157101,67.08,Unmesh Patil,,SS(UBT),71448,30.51,85653
18,Pachora,Kishor Patil,,SHS,97366,41.98,Vaishali Suryawanshi,,SS(UBT),58677,25.30,38689
19,Jamner,Girish Mahajan,,BJP,128667,53.84,Dilip Baliram Khopade,,NCP-SP,101782,42.59,26885
20,Muktainagar,Chandrakant Nimba Patil,,SHS,112318,51.86,Rohini Khadse-Khewalkar,,NCP-SP,88414,40.82,26885
Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana,Buldhana
21,Malkapur,Chainsukh Sancheti,,BJP,109921,52.98,Rajesh Ekade,,INC,83524,40.25,26397
22,Buldhana,Sanjay Gaikwad,,SHS,91660,47.06,Sunil Shelke,,SS(UBT),90819,46.63,841
23,Chikhali,Shweta Mahale,,BJP,109212,48.88,Rahul Bondre,,INC,106011,47.45,3201
24,Sindkhed Raja,Manoj Kayande,,NCP,73413,31.85,Rajendra Shingne,,NCP-SP,68763,29.84,4650
25,Mehkar (SC),Siddharth Kharat,,SS(UBT),104242,48.68,Sanjay Raimulkar,,SHS,99423,46.43,4819
26,Khamgaon,Akash Fundkar,,BJP,110599,48.40,Rana Dilipkumar Sananda,,INC,85122,37.25,25477
27,Jalgaon (Jamod),Sanjay Kute,,BJP,107318,47.19,Swati Wakekar,,INC,88547,38.94,18771
Akola,Akola,Akola,Akola,Akola,Akola,Akola,Akola,Akola,Akola,Akola,Akola,Akola
28,Akot,Prakash Bharsakle,,BJP,93338,43.51,Mahesh Gangane,,INC,74487,34.72,18851
29,Balapur,Nitin Deshmukh,,SS(UBT),82088,37.04,S. N. Khatib,,VBA,70349,31.74,11739
30,Akola West,Sajid Khan Pathan,,INC,88718,43.21,Vijay Agrawal,,BJP,87435,42.59,1283
31,Akola East,Randhir Savarkar,,BJP,108619,48.96,Gopal Datkar,,SS(UBT),58006,26.14,50613
32,Murtizapur (SC),Harish Pimple,,BJP,91820,43.98,Samrat Dongardive,,NCP-SP,55956,26.80,35864
Washim,Washim,Washim,Washim,Washim,Washim,Washim,Washim,Washim,Washim,Washim,Washim,Washim
33,Risod,Amit Zanak,,INC,76809,33.25,Anantrao Deshmukh,,IND,70673,26.28,6136
34,Washim (SC),Shyam Khode,,BJP,122914,50.10,Siddharth Deole,,SS(UBT),103040,42.01,19874
35,Karanja,Sai Prakash Dahake,,BJP,85005,40.64,Gyayak Patni,,NCP-SP,49932,23.87,35073
Amravati,Amravati,Amravati,Amravati,Amravati,Amravati,Amravati,Amravati,Amravati,Amravati,Amravati,Amravati,Amravati
36,Dhamangaon Railway,Pratap Adsad,,BJP,110641,49.54,Virendra Jagtap,,INC,94413,42.27,16228
37,Badnera,Ravi Rana,,RVSP,127800,60.14,Priti Band,,IND,60826,28.62,66974
38,Amravati,Sulbha Khodke,,NCP,58804,27.91,Sunil Deshmukh,,INC,53093,25.40,5413
39,Teosa,Rajesh Wankhade,,BJP,99664,49.10,Yashomati Thakur,,INC,92047,45.35,7617
40,Daryapur (SC),Gajanan Lawate,,SS(UBT),87749,42.08,Ramesh Bundile,,RVSP,68040,32.63,19709
41,Melghat (ST),Kewalram Kale,,BJP,145978,65.72,Hemant Nanda Chimote,,INC,39119,17.61,106859
42,Achalpur,Pawan Tayde,,BJP,78201,36.77,Bacchu Kadu,,PHJSP,66070,31.07,12131
43,Morshi,Chandu Yawalkar,,BJP,99683,47.45,Devendra Bhuyar,,NCP,34695,16.52,64988
Wardha,Wardha,Wardha,Wardha,Wardha,Wardha,Wardha,Wardha,Wardha,Wardha,Wardha,Wardha,Wardha
44,Arvi,Sumit Wankhede,,BJP,101397,52.64,Mayura Kale,,NCP-SP,61823,32.11,39574
45,Deoli,Rajesh Bakane,,BJP,90319,47.31,Ranjit Kamble,,INC,81011,42.43,9308
46,Hinganghat,Samir Kunawar,,BJP,114578,53.74,Atul Namdeo,,NCP-SP,84484,39.62,30094
47,Wardha,Pankaj Bhoyar,,BJP,92067,46.65,Shekhar Shende,,INC,84597,42.86,7470
Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur,Nagpur
48,Katol,Charansing Thakur,,BJP,104338,52.44,Salil Deshmukh,,NCP-SP,65522,32.93,38816
49,Savner,Ashish Deshmukh,,BJP,119725,53.60,Anuja Sunil Kedar,,INC,93324,41.78,26401
50,Hingna,Sameer Meghe,,BJP,160206,59.00,Rameshchandra Bang,,NCP-SP,81275,29.93,78931
51,Umred (SC),Sanjay Meshram,,INC,85372,39.54,Sudhir Parwe,,BJP,72547,33.60,12825
52,Nagpur South West,Devendra Fadnavis,,BJP,129401,56.88,Prafulla Gudadhe Patil,,INC,89691,39.43,39710
53,Nagpur South,Mohan Mate,,BJP,117526,51.48,Girish Pandav,,INC,101868,44.63,15658
54,Nagpur East,Krishna Khopde,,BJP,163390,65.23,Duneshwar Pethe,,NCP-SP,48102,19.20,115288
55,Nagpur Central,Pravin Datke,,BJP,90560,46.16,Bunty Baba Shelke,,INC,78928,40.23,11632
56,Nagpur West,Vikas Thakre,,INC,104144,47.45,Sudhakar Kohale,,BJP,98320,44.80,5824
57,Nagpur North (SC),Nitin Raut,,INC,127877,51.02,Milind Mane,,BJP,99410,39.66,28467
58,Kamthi,Chandrashekhar Bawankule,,BJP,174979,54.23,Suresh Bhoyar,,INC,134033,41.54,40946
59,Ramtek,Ashish Jaiswal,,SHS,107967,52.04,Rajendra Mulak,,IND,81412,39.24,26555
Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara,Bhandara
60,Tumsar,Raju Karemore,,NCP,135813,58.61,Charan Waghmare,,NCP-SP,71508,30.86,64305
61,Bhandara (SC),Narendra Bhondekar,,SHS,127884,48.82,Puja Thavakar,,INC,89517,34.17,38367
62,Sakoli,Nana Patole,,INC,96795,41.08,Avinash Brahmankar,,BJP,96587,41.01,208
Gondia,Gondia,Gondia,Gondia,Gondia,Gondia,Gondia,Gondia,Gondia,Gondia,Gondia,Gondia,Gondia
63,Arjuni-Morgaon (SC),Rajkumar Badole,,NCP,82506,45.04,Dilip Bansod,,INC,66091,36.08,16415
64,Tirora,Vijay Rahangdale,,BJP,102984,57.78,Ravikant Bopche,,NCP-SP,60298,33.83,42686
65,Gondiya,Vinod Agrawal,,BJP,143012,61.21,Gopaldas Agrawal,,INC,81404,34.84,61608
66,Amgaon (ST),Sanjay Puram,,BJP,110123,55.83,Rajkumar Puram,,INC,77402,39.24,32721
Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli
67,Armori (ST),Ramdas Masram,,INC,98509,48.46,Krishna Gajbe,,BJP,92299,45.40,6210
68,Gadchiroli (ST),Milind Ramji Narote,,BJP,116540,50.16,Manohar Poreti,,INC,101035,43.49,15505
69,Aheri (ST),Dharamrao Baba Atram,,NCP,54206,29.16,Ambrishrao Atram,,IND,37392,20.12,16814
Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur,Chandrapur
70,Rajura,Deorao Bhongle,,BJP,72882,30.53,Subhash Dhote,,INC,69828,29.25,3054
71,Chandrapur (SC),Kishor Jorgewar,,BJP,106841,48.67,Pravin Padwekar,,INC,84037,38.28,22804
72,Ballarpur,Sudhir Mungantiwar,,BJP,105969,48.23,Santosh Rawat,,INC,79984,36.41,25985
73,Bramhapuri,Vijay Wadettiwar,,INC,114196,50.93,Krishnalal Sahare,,BJP,100225,44.70,13971
74,Chimur,Bunty Bhangdiya,,BJP,116495,50.25,Satish Warjukar,,INC,106642,46.00,9853
75,Warora,Karan Deotale,,BJP,65170,32.86,Mukesh Jiwtode,,IND,49720,25.07,15450
Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal,Yavatmal
76,Wani,Sanjay Derkar,,SS(UBT),94618,42.91,Sanjivreddy Bodkurwar,,BJP,79058,35.85,15560
77,Ralegaon (ST),Ashok Uike,,BJP,101398,47.33,Vasant Purke,,INC,98586,46.02,2812
78,Yavatmal,Balasaheb Mangulkar,,INC,117504,49.15,Madan Yerawar,,BJP,106123,44.39,11381
79,Digras,Sanjay Rathod,,SHS,143115,54.24,Manikrao Thakare,,INC,114340,43.33,28775
80,Arni (ST),Raju Todsam,,BJP,127203,54.01,Jitendra Moghe,,INC,97890,41.57,29313
81,Pusad,Indranil Naik,,NCP,127964,59.58,Sharad Maind,,NCP-SP,37195,17.39,90769
82,Umarkhed (SC),Kisan Wankhede,,BJP,108682,49.42,Sahebrao Kamble,,INC,92053,41.86,16629
Nanded,Nanded,Nanded,Nanded,Nanded,Nanded,Nanded,Nanded,Nanded,Nanded,Nanded,Nanded,Nanded
83,Kinwat,Bhimrao Keram,,BJP,92856,45.89,Pradeep Naik,,NCP-SP,87220,43.10,5636
84,Hadgaon,Baburao Kadam,,SHS,113245,52.34,Madhavrao Patil,,INC,83178,38.45,30067
85,Bhokar,Sreejaya Chavan,,BJP,133187,57.08,Tirupati Kadam,,INC,82636,35.41,50551
86,Nanded North,Balaji Kalyankar,,SHS,83184,37.68,Abdul Sattar Gaffoor,,INC,79682,36.10,3502
87,Nanded South,Anand Tidke,,SHS,60445,29.59,Mohanrao Hambarde,,INC,58313,28.55,2132
88,Loha,Prataprao Chikhalikar,,NCP,72750,31.65,Eknathdada Pawar,,SS(UBT),61777,26.87,10973
89,Naigaon,Rajesh Pawar,,BJP,129192,55.63,Meenal Patil Khatgaonkar,,INC,81563,35.12,47629
90,Deglur (SC),Jitesh Antapurkar,,BJP,107841,53.83,Nivrutti Kamble,,INC,64842,32.37,42999
91,Mukhed,Tushar Rathod,,BJP,98213,44.94,Hanmantrao Patil,,INC,60429,27.64,37784
Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli,Hingoli
92,Basmath,Chandrakant Nawghare,,NCP,107655,44.41,Jaiprakash Dandegaonkar,,NCP-SP,78067,32.20,29588
93,Kalamnuri,Santosh Bangar,,SHS,122016,49.66,Santosh Tarfe,,SS(UBT),90933,37.01,31083
94,Hingoli,Tanaji Mutkule,,BJP,74584,32.45,Rupalitai Rajesh Patil,,SS(UBT),63658,27.70,10926
Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani,Parbhani
95,Jintur,Meghna Bordikar,,BJP,113432,38.52,Vijay Bhamble,,NCP-SP,108916,36.99,4516
96,Parbhani,Rahul Vedprakash Patil,,SS(UBT),126803,54.24,Anand Bharose,,SHS,92587,39.60,34216
97,Gangakhed,Ratnakar Gutte,,RSPS,141544,45.47,Vishal Kadam,,SS(UBT),115252,37.02,26292
98,Pathri,Rajesh Vitekar,,NCP,83767,29.67,Suresh Warpudkar,,INC,70523,25.06,13244
Jalna,Jalna,Jalna,Jalna,Jalna,Jalna,Jalna,Jalna,Jalna,Jalna,Jalna,Jalna,Jalna
99,Partur,Babanrao Lonikar,,BJP,70659,30.89,Asaram Borade,,SS(UBT),65919,28.82,4740
100,Ghansawangi,Hikmat Udhan,,SHS,98496,38.43,Rajesh Tope,,NCP-SP,96187,37.53,2309
101,Jalna,Arjun Khotkar,,SHS,104665,46.74,Kailas Gorantyal,,INC,73014,32.60,31651
102,Badnapur (SC),Narayan Kuche,,BJP,138489,55.50,Bablu Chaudhary,,NCP-SP,92958,37.26,45531
103,Bhokardan,Santosh Danve,,BJP,128480,51.18,Chandrakant Danwe,,NCP-SP,105301,41.95,23179
Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26],Chhatrapati Sambhajinagar[26]
104,Sillod,Abdul Sattar,,SHS,137960,47.69,Suresh Pandurang,,SS(UBT),135540,46.85,2420
105,Kannad,Sanjana Jadhav,,SHS,84492,36.37,Harshvardhan Jadhav,,IND,66291,28.54,18201
106,Phulambri,Anuradha Chavan,,BJP,135046,50.08,Vilas Autade,,INC,102545,38.03,32501
107,Aurangabad Central,Pradeep Jaiswal,,SHS,85459,38.57,Naseruddin Siddiqui,,AIMIM,77340,34.90,8119
108,Aurangabad West (SC),Sanjay Shirsat,,SHS,122498,49.28,Raju Shinde,,SS(UBT),106147,42.70,16351
109,Aurangabad East,Atul Save,,BJP,93274,43.07,Imtiyaz Jaleel,,AIMIM,91113,42.07,2161
110,Paithan,Vilas Bhumre,,SHS,132474,52.01,Dattatray Gorde,,SS(UBT),103282,40.55,29192
111,Gangapur,Prashant Bamb,,BJP,125555,46.57,Satish Chavan,,NCP-SP,120540,44.71,5015
112,Vaijapur,Ramesh Bornare,,SHS,133627,54.56,Dinesh Pardeshi,,SS(UBT),91969,37.55,41658
Nashik,Nashik,Nashik,Nashik,Nashik,Nashik,Nashik,Nashik,Nashik,Nashik,Nashik,Nashik,Nashik
113,Nandgaon,Suhas Kande,,SHS,138068,56.48,Sameer Bhujbal,,IND,48194,19.72,89874
114,Malegaon Central,Ismail Abdul Khalique,,AIMIM,109653,45.66,Shaikh Aasif Rashid,,ISLAM,109491,45.59,162
115,Malegaon Outer,Dadaji Bhuse,,SHS,158284,61.13,Pramod Bachhav,,IND,51678,19.96,106606
116,Baglan (ST),Dilip Borse,,BJP,159681,77.71,Dipika Chavan,,NCP-SP,30384,14.79,129297
117,Kalwan (ST),Nitin Pawar,,NCP,119191,49.94,Jiva Pandu Gavit,,CPI(M),110759,46.41,8432
118,Chandwad,Rahul Aher,,BJP,104826,43.78,Ganesh Nimbalkar,,PHJSP,55865,23.33,48961
119,Yevla,Chhagan Bhujbal,,NCP,135023,53.85,Manikrao Shinde,,NCP-SP,108623,43.32,26400
120,Sinnar,Manikrao Kokate,,NCP,138565,56.93,Uday Sangale,,NCP-SP,97681,40.13,40884
121,Niphad,Diliprao Bankar,,NCP,120253,54.59,Anil Kadam,,SS(UBT),91014,41.31,29239
122,Dindori (ST),Narhari Zirwal,,NCP,138622,53.63,Sunita Charoskar,,NCP-SP,94219,36.45,44403
123,Nashik East,Rahul Dhikale,,BJP,156246,64.28,Ganesh Gite,,NCP-SP,68429,28.15,87817
124,Nashik Central,Devayani Farande,,BJP,105689,52.67,Vasantrao Gite,,SS(UBT),87833,43.77,17856
125,Nashik West,Seema Hiray,,BJP,141725,51.27,Sudhakar Badgujar,,SS(UBT),73548,26.61,68177
126,Deolali (SC),Saroj Ahire,,NCP,81683,44.48,Rajashri Ahirrao,,SHS,41004,22.33,40679
127,Igatpuri (ST),Hiraman Khoskar,,NCP,117575,54.68,Luckybhau Jadhav,,INC,30994,14.41,86581
Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar
128,Dahanu (ST),Vinod Nikole,,CPI(M),104702,47.21,Vinod Medha,,BJP,99569,44.90,5133
129,Vikramgad (ST),Harishchandra Bhoye,,BJP,114514,46.02,Sunil Bhusara,,NCP-SP,73106,29.38,41408
130,Palghar (ST),Rajendra Gavit,,SHS,112894,52.61,Jayendra Dubla,,SS(UBT),72557,33.81,40337
131,Boisar (ST),Vilas Tare,,SHS,126117,45.34,Rajesh Raghunath Patil,,BVA,81662,29.36,44455
132,Nalasopara,Rajan Naik,,BJP,165113,47.16,Kshitij Thakur,,BVA,128238,36.62,36875
133,Vasai,Sneha Pandit,,BJP,77553,35.38,Hitendra Thakur,,BVA,74400,33.94,3153
Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane
134,Bhiwandi Rural (ST),Shantaram More,,SS,127205,52.68,Mahadev Ghatal,,SS(UBT),69243,28.68,57962
135,Shahapur (ST),Daulat Daroda,,NCP,73081,35.34,Pandurang Barora,,NCP-SP,71409,34.54,1672
136,Bhiwandi West,Mahesh Choughule,,BJP,70172,38.65,Riyaj Azmi,,SP,38879,21.41,31293
137,Bhiwandi East,Rais Shaikh,,SP,119687,62.44,Santosh Shetty,,SHS,67672,35.30,52015
138,Kalyan West,Vishwanath Bhoir,,SHS,126020,51.32,Sachin Basare,,SS(UBT),83566,34.03,42454
139,Murbad,Kisan Kathore,,BJP,175509,55.04,Subhash Pawar,,NCP-SP,123117,38.61,52392
140,Ambernath (SC),Balaji Kinikar,,SHS,111368,60.36,Rajesh Wankhede,,SS(UBT),59993,32.52,51375
141,Ulhasnagar,Kumar Ailani,,BJP,82231,52.98,Pappu Kalani,,NCP-SP,51477,33.17,30754
142,Kalyan East,Sulbha Gaikwad,,BJP,81516,42.15,Mahesh Gaikwad,,IND,55108,28.50,26408
143,Dombivali,Ravindra Chavan,,BJP,123815,70.14,Dipesh Mhatre,,SS(UBT),46709,26.46,77106
144,Kalyan Rural,Rajesh More,,SHS,141164,47.68,Pramod Ratan Patil,,MNS,74768,25.26,66396
145,Mira Bhayandar,Narendra Mehta,,BJP,144376,54.87,Muzaffar Hussain,,INC,83943,31.90,60433
146,Ovala-Majiwada,Pratap Sarnaik,,SHS,184178,64.50,Naresh Manera,,SS(UBT),76020,26.62,108158
